User_Input,US_State_Territory_Name,USPS_Code,ISO_Code_2,ISO_Code_3,ISO_Code_Num,ISO_Code_Hyphen,Classification,Input_Type,USER_INPUT_IS_UNIQUE
AZ,Arizona,AZ,US-AZ,,,,State,Custom - Abbreviation,TRUE
AR,Arkansas,AR,US-AR,,,,State,Custom - Abbreviation,TRUE
CA,California,CA,US-CA,,,,State,Custom - Abbreviation,TRUE
CO,Colorado,CO,US-CO,,,,State,Custom - Abbreviation,TRUE
CT,Connecticut,CT,US-CT,,,,State,Custom - Abbreviation,TRUE
DE,Delaware,DE,US-DE,,,,State,Custom - Abbreviation,TRUE
DC,District of Columbia,DC,US-DC,,,,Federal district,Custom - Abbreviation,TRUE
FL,Florida,FL,US-FL,,,,State,Custom - Abbreviation,TRUE
GA,Georgia,GA,US-GA,,,,State,Custom - Abbreviation,TRUE
HI,Hawaii,HI,US-HI,,,,State,Custom - Abbreviation,TRUE
ID,Idaho,ID,US-ID,,,,State,Custom - Abbreviation,TRUE
IL,Illinois,IL,US-IL,,,,State,Custom - Abbreviation,TRUE
IN,Indiana,IN,US-IN,,,,State,Custom - Abbreviation,TRUE
IA,Iowa,IA,US-IA,,,,State,Custom - Abbreviation,TRUE
KS,Kansas,KS,US-KS,,,,State,Custom - Abbreviation,TRUE
KY,Kentucky,KY,US-KY,,,,State,Custom - Abbreviation,TRUE
LA,Louisiana,LA,US-LA,,,,State,Custom - Abbreviation,TRUE
ME,Maine,ME,US-ME,,,,State,Custom - Abbreviation,TRUE
MD,Maryland,MD,US-MD,,,,State,Custom - Abbreviation,TRUE
MA,Massachusetts,MA,US-MA,,,,State,Custom - Abbreviation,TRUE
MI,Michigan,MI,US-MI,,,,State,Custom - Abbreviation,TRUE
MN,Minnesota,MN,US-MN,,,,State,Custom - Abbreviation,TRUE
MS,Mississippi,MS,US-MS,,,,State,Custom - Abbreviation,TRUE
MO,Missouri,MO,US-MO,,,,State,Custom - Abbreviation,TRUE
MT,Montana,MT,US-MT,,,,State,Custom - Abbreviation,TRUE
NE,Nebraska,NE,US-NE,,,,State,Custom - Abbreviation,TRUE
NV,Nevada,NV,US-NV,,,,State,Custom - Abbreviation,TRUE
NH,New Hampshire,NH,US-NH,,,,State,Custom - Abbreviation,TRUE
NJ,New Jersey,NJ,US-NJ,,,,State,Custom - Abbreviation,TRUE
NM,New Mexico,NM,US-NM,,,,State,Custom - Abbreviation,TRUE
NY,New York,NY,US-NY,,,,State,Custom - Abbreviation,TRUE
NC,North Carolina,NC,US-NC,,,,State,Custom - Abbreviation,TRUE
ND,North Dakota,ND,US-ND,,,,State,Custom - Abbreviation,TRUE
OH,Ohio,OH,US-OH,,,,State,Custom - Abbreviation,TRUE
OK,Oklahoma,OK,US-OK,,,,State,Custom - Abbreviation,TRUE
OR,Oregon,OR,US-OR,,,,State,Custom - Abbreviation,TRUE
PA,Pennsylvania,PA,US-PA,,,,State,Custom - Abbreviation,TRUE
RI,Rhode Island,RI,US-RI,,,,State,Custom - Abbreviation,TRUE
SC,South Carolina,SC,US-SC,,,,State,Custom - Abbreviation,TRUE
SD,South Dakota,SD,US-SD,,,,State,Custom - Abbreviation,TRUE
TN,Tennessee,TN,US-TN,,,,State,Custom - Abbreviation,TRUE
TX,Texas,TX,US-TX,,,,State,Custom - Abbreviation,TRUE
UT,Utah,UT,US-UT,,,,State,Custom - Abbreviation,TRUE
VT,Vermont,VT,US-VT,,,,State,Custom - Abbreviation,TRUE
VA,Virginia,VA,US-VA,,,,State,Custom - Abbreviation,TRUE
WA,Washington,WA,US-WA,,,,State,Custom - Abbreviation,TRUE
WV,West Virginia,WV,US-WV,,,,State,Custom - Abbreviation,TRUE
WI,Wisconsin,WI,US-WI,,,,State,Custom - Abbreviation,TRUE
WY,Wyoming,WY,US-WY,,,,State,Custom - Abbreviation,TRUE
AS,American Samoa,AS,,,,,Insular area (Territory),Custom - Abbreviation,TRUE
GU,Guam,GU,,,,,Insular area (Territory),Custom - Abbreviation,TRUE
MP,Northern Mariana Islands,MP,,,,,Insular area (Commonwealth),Custom - Abbreviation,TRUE
PR,Puerto Rico,PR,,,,,Insular area (Commonwealth),Custom - Abbreviation,TRUE
VI,US Virgin Islands,VI,,,,,Insular area (Territory),Custom - Abbreviation,TRUE
UM,US Minor Outlying Islands,UM,,,,,Insular areas,Custom - Abbreviation,TRUE
UM-81,Baker Island,UM-81,,,,,Island,Custom - Abbreviation,TRUE
UM-84,Howland Island,UM-84,,,,,Island,Custom - Abbreviation,TRUE
UM-86,Jarvis Island,UM-86,,,,,Island,Custom - Abbreviation,TRUE
UM-67,Johnston Atoll,UM-67,,,,,Atoll,Custom - Abbreviation,TRUE
UM-89,Kingman Reef,UM-89,,,,,Atoll,Custom - Abbreviation,TRUE
UM-71,Midway Islands,UM-71,,,,,Atoll,Custom - Abbreviation,TRUE
UM-76,Navassa Island,UM-76,,,,,Island,Custom - Abbreviation,TRUE
UM-95,Palmyra Atoll,UM-95,,,,,Atoll,Custom - Abbreviation,TRUE
UM-79,Wake Island,UM-79,,,,,Atoll,Custom - Abbreviation,TRUE
MH,Marshall Islands,MH,,,,,Freely associated state,Custom - Abbreviation,TRUE
FM,Micronesia,FM,,,,,Freely associated state,Custom - Abbreviation,TRUE
PW,Palau,PW,,,,,Freely associated state,Custom - Abbreviation,TRUE
AA,US Armed Forces – Americas,AA,,,,,US military mail code,Custom - Abbreviation,TRUE
AE,US Armed Forces – Europe,AE,,,,,US military mail code,Custom - Abbreviation,TRUE
AP,US Armed Forces – Pacific,AP,,,,,US military mail code,Custom - Abbreviation,TRUE
Calif,California,CA,US-CA,,,,,Custom - Misspelling,TRUE
Californiz,California,CA,US-CA,,,,,Custom - Misspelling,TRUE
Califronia,California,CA,US-CA,,,,,Custom - Misspelling,TRUE
Mass,Massachusetts,MA,US-MA,,,,,Custom - Misspelling,TRUE
Massachusetes,Massachusetts,MA,US-MA,,,,,Custom - Misspelling,TRUE
Massachusettes,Massachusetts,MA,US-MA,,,,,Custom - Misspelling,TRUE
Ore,Oregon,OR,US-OR,,,,,Custom - Misspelling,TRUE
Conneticut,Connecticut,CT,US-CT,,,,,Custom - Misspelling,TRUE
